1960,3384200
1961,3488000
1962,3752200
1963,4109500
1964,4564600
1965,4739400
1966,5223500
1967,5903400
1968,6720200
1969,7410900
1970,8098000
1971,8588200
1972,8248800
1973,8718100
1974,10253400
1975,11292400
1976,11349700
1977,10984500
1978,11209000
1979,12249500
1980,13408300
1981,13423800
1982,12974400
1983,12108600
1984,11881800
1985,12431400
1986,13211869
1987,13508700
1988,13923100
1989,14251400
1990,14475600
1991,14872900
1992,14438200
1993,14144800
1994,13989500
1995,13862700
1996,13493863
1997,13194571
1998,12475634
1999,11634378
2000,11608072
2001,11876669
2002,11878954
2003,11826538
2004,11679474
2005,11565499
2006,11401511
2007,11251828
2008,11160543
2009,10762956
2010,10363873
2011,10258774
2012,10219059
2013,9850445
2014,9395195
2015,9225197
